Index,movie_title,genres,title_year,imdb_score,num_critic_for_reviews,duration,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,aspect_ratio,movie_facebook_likes,color,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,director_name,director_facebook_likes
6,A_Bug's_Life,Adventure|Animation|Comedy|Family|Fantasy,1998,7.2,117,95,162792677,211226,24205,0,ant|circus|grasshopper|misunderstanding|overhearing,http://www.imdb.com/title/tt0120623/?ref_=fn_tt_tt_1,317,English,USA,G,120000000,2.35,0,Color,Kevin_Spacey,18000,Peter_Robbins,1000,Darren_McGavin,1000,John_Lasseter,487
12,A_Dangerous_Method,Biography|Drama|Thriller,2011,6.5,345,99,5702083,80617,23755,3,carl_jung|patient|psychoanalysis|russian|sigmund_freud,http://www.imdb.com/title/tt1571222/?ref_=fn_tt_tt_1,190,English,UK,R,15000000,1.85,36000,Color,Michael_Fassbender,13000,Viggo_Mortensen,10000,Sarah_Gadon,691,David_Cronenberg,0
13,A_Dog_of_Flanders,Drama|Family,1999,6.3,25,100,2148212,781,1906,0,artist|box_office_flop|dog|drawing|flanders,http://www.imdb.com/title/tt0160216/?ref_=fn_tt_tt_1,20,English,USA,PG,7000000,1.85,157,Color,Bruce_McGill,655,Cheryl_Ladd,476,Jack_Warden,359,Kevin_Brodie,0
14,A_Dog's_Breakfast,Comedy,2007,7,8,88,N\A,3262,2364,2,dog|vegetarian,http://www.imdb.com/title/tt0796314/?ref_=fn_tt_tt_1,46,English,Canada,N\A,120000,1.78,377,Color,Christopher_Judge,847,David_Hewlett,686,Paul_McGillion,405,David_Hewlett,686
16,A_Farewell_to_Arms,Drama|Romance|War,1932,6.6,42,79,N\A,3519,1284,1,1910s|ambulance_driver|italy|lake|nurse,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1,46,English,USA,Unrated,800000,1.37,213,_Black_and_White,Gary_Cooper,998,Helen_Hayes,164,Adolphe_Menjou,99,Frank_Borzage,57
17,A_Few_Good_Men,Drama|Thriller,1992,7.6,81,138,141340178,181879,14619,0,cuba|guantanamo|lance_corporal|lawyer|murder,http://www.imdb.com/title/tt0104257/?ref_=fn_tt_tt_1,319,English,USA,R,40000000,2.35,0,Color,Tom_Cruise,10000,Kevin_Spacey,2000,Kevin_Pollak,574,Rob_Reiner,0
18,A_Fine_Step,Drama,2014,5.3,1,111,N\A,207,2677,0,N\A,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1,1,N\A,USA,PG,1000000,N\A,212,N\A,Justin_Baldoni,657,Luke_Perry,608,Leonor_Varela,426,Jonathan_Meyers,0
19,A_Fistful_of_Dollars,Action|Drama|Western,1964,8,122,99,3500000,147566,16534,1,balladeer|bar|drifter|mexican|revenge,http://www.imdb.com/title/tt0058461/?ref_=fn_tt_tt_1,235,Italian,Italy,R,200000,2.35,0,Color,Clint_Eastwood,16000,Gian_Maria_Volontè,360,Aldo_Sambrell,93,Sergio_Leone,0
20,A_Funny_Thing_Happened_on_the_Way_to_the_Forum,Comedy|Musical,1966,7,25,99,N\A,6804,1807,0,based_on_stage_musical|based_on_stage_musical_based_on_stage_play|freedom|historical_fiction|virgin,http://www.imdb.com/title/tt0060438/?ref_=fn_tt_tt_1,72,English,USA,Approved,2000000,1.85,805,Color,Buster_Keaton,907,Zero_Mostel,164,Phil_Silvers,137,Richard_Lester,44
21,A_Good_Day_to_Die_Hard,Action|Thriller,2013,5.3,412,101,67344392,165618,15481,2,bomb|cia|courthouse|escape|russian,http://www.imdb.com/title/tt1606378/?ref_=fn_tt_tt_1,503,English,USA,R,92000000,1.85,66000,Color,Bruce_Willis,13000,Cole_Hauser,787,Megalyn_Echikunwoke,476,John_Moore,212
22,A_Good_Year,Comedy|Drama|Romance,2006,6.9,147,117,7458269,70698,3611,1,based_on_novel|inheritance|provence|uncle|wine,http://www.imdb.com/title/tt0401445/?ref_=fn_tt_tt_1,196,English,USA,PG-13,35000000,2.35,9000,Color,Archie_Panjabi,883,Albert_Finney,883,Richard_Coyle,567,Ridley_Scott,0
23,A_Guy_Named_Joe,Drama|Fantasy|Romance|War,1943,7,9,122,N\A,1553,2555,0,heaven|pilot|teacher|training|world_war_two,http://www.imdb.com/title/tt0035959/?ref_=fn_tt_tt_1,27,English,USA,Passed,2627000,1.37,116,_Black_and_White,Spencer_Tracy,760,Esther_Williams,675,Irene_Dunne,315,Victor_Fleming,149
24,A_Guy_Thing,Comedy|Romance,2003,5.6,81,101,15408822,14147,2698,3,bachelor_party|climbing_a_tree|taxi|toilet|wedding,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1,92,English,USA,PG-13,20000000,1.85,401,Color,Thomas_Lennon,651,Lochlyn_Munro,555,James_Brolin,499,Chris_Koch,13
25,A_Hard_Day's_Night,Comedy|Musical,1964,7.7,105,87,515005,31429,2538,1,boy|concert|drummer|manager|television,http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1,219,English,UK,Approved,560000,1.75,0,_Black_and_White,Paul_McCartney,785,Ringo_Starr,725,George_Harrison,704,Richard_Lester,44
26,A_Haunted_House,Comedy|Fantasy,2013,5.1,129,86,40041683,34620,3421,6,hamburger|parody|priest|psychic|woman_in_a_bikini,http://www.imdb.com/title/tt2243537/?ref_=fn_tt_tt_1,107,English,USA,R,2500000,1.85,0,Color,Essence_Atkins,713,Alanna_Ubach,584,J.B._Smoove,555,Michael_Tiddes,89
27,A_Haunted_House_2,Comedy|Fantasy,2014,4.7,69,86,17314483,14621,4073,2,bare_breasts|parody|sexual_innuendo|slip_and_fall|squirting_orgasm,http://www.imdb.com/title/tt2828996/?ref_=fn_tt_tt_1,48,English,USA,R,4000000,1.85,0,Color,Ashley_Rickards,986,Essence_Atkins,713,Gabriel_Iglesias,511,Michael_Tiddes,89
28,A_History_of_Violence,Crime|Drama|Thriller,2005,7.5,441,96,31493782,186606,12754,1,bar|crotch_shot|female_full_frontal_nudity|female_pubic_hair|robbery,http://www.imdb.com/title/tt0399146/?ref_=fn_tt_tt_1,1125,English,USA,R,32000000,1.85,0,Color,Viggo_Mortensen,10000,Kyle_Schmid,917,William_Hurt,882,David_Cronenberg,0
29,A_Home_at_the_End_of_the_World,Drama|Romance,2004,6.8,84,97,1029017,12049,21107,2,hand_job|hugging|long_hair|new_york_city|two_men_one_woman,http://www.imdb.com/title/tt0359423/?ref_=fn_tt_tt_1,135,English,USA,R,6500000,2.35,1000,Color,Robin_Wright,18000,Matt_Frewer,986,Sissy_Spacek,874,Michael_Mayer,15
30,A_Knight's_Tale,Action|Adventure|Romance,2001,6.9,167,144,56083966,137003,18761,1,chaucer|jousting|knight|medieval_times|tournament,http://www.imdb.com/title/tt0183790/?ref_=fn_tt_tt_1,658,English,USA,PG-13,65000000,2.35,0,Color,Heath_Ledger,13000,Rufus_Sewell,3000,Bérénice_Bejo,996,Brian_Helgeland,241
31,A_League_of_Their_Own,Comedy|Drama|Sport,1992,7.2,41,128,107458785,71754,16751,3,baseball|friend|oregon|rivalry|softball,http://www.imdb.com/title/tt0104694/?ref_=fn_tt_tt_1,166,English,USA,PG,40000000,2.35,0,_Black_and_White,Tom_Hanks,15000,Lori_Petty,923,Rosie_O'Donnell,251,Penny_Marshall,545
32,A_Lego_Brickumentary,Documentary,2014,6.8,43,93,100240,1220,28,0,artist|denmark|lego|toy|toy_company,http://www.imdb.com/title/tt3214286/?ref_=fn_tt_tt_1,11,English,Denmark,G,1000000,N\A,0,Color,G.W._Krauss,20,Brian_Whitaker,8,Jason_Bateman,0,Kief_Davidson,0
33,A_Lonely_Place_to_Die,Action|Adventure|Crime|Thriller,2011,6.3,135,99,N\A,22220,2631,1,kidnapper|mountaineering|scotland|scottish_highlands|sniper,http://www.imdb.com/title/tt1422136/?ref_=fn_tt_tt_1,97,English,UK,R,4000000,2.35,0,Color,Ed_Speleers,762,Eamonn_Walker,706,Sean_Harris,641,Julian_Gilbey,7
34,A_Lot_Like_Love,Comedy|Drama|Romance,2005,6.6,112,107,21835784,58297,1095,3,flight|hasselblad_camera|los_angeles_california|love|medium_format_camera,http://www.imdb.com/title/tt0391304/?ref_=fn_tt_tt_1,161,English,USA,PG-13,30000000,1.85,0,Color,Aimee_Garcia,618,Tyrone_Giordano,172,James_Read,165,Nigel_Cole,13
35,A_Low_Down_Dirty_Shame,Action|Comedy|Crime,1994,5.8,8,100,29392418,3924,3190,2,drugs|ex_cop|gun_fu|machismo|shootout,http://www.imdb.com/title/tt0110399/?ref_=fn_tt_tt_1,26,English,USA,R,10000000,1.85,368,Color,Jada_Pinkett_Smith,851,Salli_Richardson-Whitfield,543,Charles_S._Dutton,534,Keenen_Ivory_Wayans,322
36,A_Madea_Christmas,Comedy|Drama,2013,4.7,24,100,52528330,4265,3202,0,christmas|holiday|madea_series|rural_setting|stubbornness,http://www.imdb.com/title/tt2609758/?ref_=fn_tt_tt_1,27,English,USA,PG-13,25000000,1.85,0,Color,Alicia_Witt,975,Tika_Sumpter,521,Larry_the_Cable_Guy,400,Tyler_Perry,0
37,A_Man_Apart,Action|Crime|Drama|Thriller,2003,6.1,110,109,26183197,38348,16611,0,bust|dea|drug_cartel|justice|tragic_hero,http://www.imdb.com/title/tt0266465/?ref_=fn_tt_tt_1,135,English,USA,R,36000000,2.35,0,Color,Vin_Diesel,14000,Jeff_Kober,919,Larenz_Tate,582,F._Gary_Gray,473
38,A_Man_for_All_Seasons,Biography|Drama|History,1966,7.9,62,120,N\A,23713,1238,0,catholic|chancellor|divorce|king_henry_viii|thomas_more,http://www.imdb.com/title/tt0060665/?ref_=fn_tt_tt_1,167,English,UK,Approved,2000000,1.66,2000,Color,Robert_Shaw,559,Susannah_York,269,Paul_Scofield,94,Fred_Zinnemann,160
39,A_Mighty_Heart,Biography|Drama|History|Thriller|War,2007,6.7,190,108,9172810,24150,12178,0,fbi|journalist|missing|pakistan|reporter,http://www.imdb.com/title/tt0829459/?ref_=fn_tt_tt_1,118,English,USA,R,16000000,2.35,923,Color,Angelina_Jolie_Pitt,11000,Archie_Panjabi,883,Dan_Futterman,254,Michael_Winterbottom,187
40,A_Mighty_Wind,Comedy|Music,2003,7.3,97,91,17508936,22408,1660,0,concert|mockumentary|musician|new_york_city|singer,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,272,English,USA,PG-13,N\A,1.85,0,Color,Michael_McKean,658,Christopher_Guest,378,Laura_Harris,345,Christopher_Guest,378
41,A_Million_Ways_to_Die_in_the_West,Comedy|Western,2014,6.1,303,136,42615685,136093,28927,3,dancing_sheep|fetish|musical_scene|racial_humor|snake_poison,http://www.imdb.com/title/tt2557490/?ref_=fn_tt_tt_1,416,English,USA,R,40000000,2.35,24000,Color,Liam_Neeson,14000,Charlize_Theron,9000,Seth_MacFarlane,3000,Seth_MacFarlane,3000
42,A_Monster_in_Paris,Adventure|Animation|Comedy|Fantasy|Music|Romance,2011,6.8,63,90,N\A,15790,3243,0,belle_epoque|city_name_in_title|monster|paris_france,http://www.imdb.com/title/tt0961097/?ref_=fn_tt_tt_1,40,French,France,PG,25000000,1.85,0,Color,Adam_Goldberg,1000,Bob_Balaban,559,François_Cluzet,541,Bibo_Bergeron,10
43,A_Most_Violent_Year,Action|Crime|Drama|Thriller,2014,7,350,125,5749134,45799,3979,0,american_dream|immigrant|new_york_city|oil|violence,http://www.imdb.com/title/tt2937898/?ref_=fn_tt_tt_1,180,English,USA,R,20000000,2.35,0,Color,David_Oyelowo,1000,Ashley_Williams,969,Albert_Brooks,745,J.C._Chandor,78
44,A_Most_Wanted_Man,Crime|Drama|Thriller,2014,6.8,291,122,17237244,57210,22574,3,intelligence|intelligence_agency|secret_service|surveillance_camera|war_on_terror,http://www.imdb.com/title/tt1972571/?ref_=fn_tt_tt_1,158,English,UK,R,15000000,2.35,13000,Color,Philip_Seymour_Hoffman,22000,Nina_Hoss,164,Homayoun_Ershadi,123,Anton_Corbijn,210
45,A_Night_at_the_Roxbury,Comedy|Music|Romance,1998,6.2,63,82,30324946,48458,9271,2,1990s|bar|car_accident|nightclub|whipped_cream,http://www.imdb.com/title/tt0120770/?ref_=fn_tt_tt_1,239,English,USA,PG-13,17000000,1.85,0,Color,Will_Ferrell,8000,Chris_Kattan,357,Dan_Hedaya,281,John_Fortenberry,12
46,A_Nightmare_on_Elm_Street,Horror,1984,7.5,256,101,26505000,149285,42918,1,freddy_krueger|lucid_dream|serial_killer|slasher|sleep_deprivation,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,668,English,USA,X,1800000,1.85,10000,Color,Johnny_Depp,40000,Lin_Shaye,852,Amanda_Wyss,574,Wes_Craven,0
47,A_Nightmare_on_Elm_Street,Horror,1984,7.5,256,101,26505000,149293,42918,1,freddy_krueger|lucid_dream|serial_killer|slasher|sleep_deprivation,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,668,English,USA,X,1800000,1.85,10000,Color,Johnny_Depp,40000,Lin_Shaye,852,Amanda_Wyss,574,Wes_Craven,0
48,A_Nightmare_on_Elm_Street_2:_Freddy's_Revenge,Fantasy|Horror,1985,5.4,138,87,30000000,43485,1472,0,freddy_krueger|gay|gay_subtext|homoeroticism|jock_strap,http://www.imdb.com/title/tt0089686/?ref_=fn_tt_tt_1,327,English,USA,R,2200000,1.85,0,Color,Clu_Gulager,426,Robert_Rusler,359,Marshall_Bell,217,Bob_Clark,28
49,A_Nightmare_on_Elm_Street_3:_Dream_Warriors,Action|Fantasy|Horror|Thriller,1987,6.6,131,88,44793200,49820,1584,0,dream|freddy_krueger|killer|nightmare|springwood_ohio,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,311,English,USA,X,4500000,1.85,0,Color,John_Saxon,506,Heather_Langenkamp,449,Jennifer_Rubin,150,Chuck_Russell,55
50,A_Nightmare_on_Elm_Street_4:_The_Dream_Master,Fantasy|Horror|Thriller,1988,5.7,102,99,49369900,36108,450,0,demon|dream|elm_street|freddy_krueger|nightmare,http://www.imdb.com/title/tt0095742/?ref_=fn_tt_tt_1,260,English,USA,R,7000000,1.85,0,Color,Tuesday_Knight,130,Rodney_Eastman,125,Brooke_Bundy,54,Renny_Harlin,212
51,A_Nightmare_on_Elm_Street_5:_The_Dream_Child,Fantasy|Horror|Romance|Thriller,1989,5.1,88,89,22168359,29659,584,0,child|comic_book|dream|murderer|nightmare,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,227,English,USA,X,8000000,1.85,1000,_Black_and_White,Lisa_Wilcox,321,Kelly_Jo_Minter,101,Matthew_Borlenghi,92,Stephen_Hopkins,81
52,A_Passage_to_India,Adventure|Drama|History,1984,7.4,52,164,26400000,12980,1334,0,doctor|english|india|magistrate|mosque,http://www.imdb.com/title/tt0087892/?ref_=fn_tt_tt_1,89,English,UK,PG,16000000,1.85,845,Color,Richard_Wilson,358,Judy_Davis,223,Art_Malik,162,David_Lean,767
53,A_Perfect_Getaway,Adventure|Mystery|Thriller,2009,6.5,160,108,15483540,56338,41359,4,cliff|hawaii|island|newlywed|waterfall,http://www.imdb.com/title/tt0971209/?ref_=fn_tt_tt_1,215,English,USA,R,14000000,2.35,4000,Color,Chris_Hemsworth,26000,Milla_Jovovich,14000,Marley_Shelton,690,David_Twohy,123
54,A_Perfect_Plan,Comedy|Romance,2012,6.3,58,104,N\A,5525,210,2,curse|divorce|marriage|tourism|travel,http://www.imdb.com/title/tt1986843/?ref_=fn_tt_tt_1,11,French,France,N\A,17000000,2.35,853,Color,Dany_Boon,172,Malonn_Lévana,20,Alice_Pol,8,Bob_Clark,8
55,A_Plague_So_Pleasant,Drama|Horror|Thriller,2013,6.3,13,76,N\A,38,0,0,N\A,http://www.imdb.com/title/tt2107644/?ref_=fn_tt_tt_1,3,English,USA,N\A,1400,N\A,16,Color,Eva_Boehnke,0,Maxwell_Moody,0,David_Chandler,0,Benjamin_Roberds,0
56,A_Prairie_Home_Companion,Comedy|Drama|Music,2006,6.8,211,105,20338609,19655,12946,8,backstage|country_music|cowboy|radio|singing,http://www.imdb.com/title/tt0420087/?ref_=fn_tt_tt_1,280,English,USA,PG-13,10000000,2.35,683,Color,Meryl_Streep,11000,Virginia_Madsen,912,Lily_Tomlin,718,Robert_Altman,500
57,A_Room_for_Romeo_Brass,Comedy|Drama,1999,7.7,29,90,18434,4471,6111,2,betrayal|family_relationships|friendship|psychosis|stranger,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,47,English,UK,R,N\A,1.85,484,Color,Bob_Hoskins,5000,Paddy_Considine,680,Shane_Meadows,222,Shane_Meadows,222
58,A_Room_with_a_View,Drama|Romance,1985,7.4,55,117,20966644,29610,1665,0,male_nudity|male_pubic_hair|nude_bathing|piano|pubic_hair,http://www.imdb.com/title/tt0091867/?ref_=fn_tt_tt_1,94,English,UK,Unrated,3000000,1.66,0,Color,Julian_Sands,687,Rupert_Graves,443,Denholm_Elliott,249,James_Ivory,133
59,A_Scanner_Darkly,Animation|Drama|Mystery|Sci-Fi|Thriller,2006,7.1,232,100,5480996,89383,39507,0,detective|drugs|substance_d|undercover|undercover_cop,http://www.imdb.com/title/tt0405296/?ref_=fn_tt_tt_1,293,English,USA,R,8700000,1.85,0,Color,Robert_Downey_Jr.,21000,Keanu_Reeves,18000,Rory_Cochrane,407,Richard_Linklater,0
60,A_Separation,Drama|Mystery,2011,8.4,354,123,7098492,151812,2501,2,alzheimer's_disease|caregiver|divorce|iran|iranian,http://www.imdb.com/title/tt1832382/?ref_=fn_tt_tt_1,264,Persian,Iran,PG-13,500000,1.85,48000,Color,Shahab_Hosseini,786,Leila_Hatami,712,Peyman_Moaadi,620,Asghar_Farhadi,0
61,A_Serious_Man,Comedy|Drama,2009,7,341,106,9190525,102125,1120,1,bar_mitzvah|jewish|marital_breakup|nose_job|rabbi,http://www.imdb.com/title/tt1019452/?ref_=fn_tt_tt_1,324,English,USA,R,7000000,1.85,10000,Color,Michael_Stuhlbarg,816,Fred_Melamed,105,Peter_Breitmayer,98,Bob_Clark,1000
62,A_Shine_of_Rainbows,Drama|Family,2009,7.2,37,101,N\A,1696,1940,2,island|love|new_home|orphan|rainbow,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,19,English,Canada,PG,6000000,2.35,1000,Color,Connie_Nielsen,933,Aidan_Quinn,767,John_Bell,130,Vic_Sarin,24
63,A_Simple_Plan,Crime|Drama|Thriller,1998,7.5,125,121,16311763,50656,2365,1,bag_of_money|found_money|minnesota|screenplay_adapted_by_author|snow,http://www.imdb.com/title/tt0120324/?ref_=fn_tt_tt_1,416,English,UK,R,17000000,1.85,0,Color,Gary_Cole,989,Bridget_Fonda,888,Chelcie_Ross,244,Sam_Raimi,0
64,A_Simple_Wish,Comedy|Family|Fantasy,1997,5.4,21,89,8119205,4288,5535,3,8_year_old|convention|magic|magic_wand|male_fairy_godmother,http://www.imdb.com/title/tt0120133/?ref_=fn_tt_tt_1,21,English,USA,PG,28000000,1.85,517,Color,Mara_Wilson,1000,Francis_Capra,937,Kathleen_Turner,899,Michael_Ritchie,23
65,A_Single_Man,Drama|Romance,2009,7.6,281,99,9166863,83182,14816,2,car_accident|male_full_back_nudity|practicing_a_suicide|public_nudity|suicide_contemplation,http://www.imdb.com/title/tt1315981/?ref_=fn_tt_tt_1,247,English,USA,R,7000000,2.35,16000,Color,Colin_Firth,14000,Teddy_Sears,343,Keri_Lynn_Pratt,292,Tom_Ford,192
66,A_Sound_of_Thunder,Action|Adventure|Horror|Sci-Fi|Thriller,2005,4.2,113,102,1891821,16474,1890,0,butterfly|hunter|time|time_travel|wave,http://www.imdb.com/title/tt0318081/?ref_=fn_tt_tt_1,301,English,UK,PG-13,52000000,2.35,785,Color,David_Oyelowo,1000,Catherine_McCormack,307,Jemima_Rooper,212,Peter_Hyams,0
67,A_Streetcar_Named_Desire,Drama,1951,8,94,125,N\A,78454,10570,0,brother_in_law_sister_in_law_relationship|expectant_father|histrionic_personality_disorder|middle_aged_woman|off_screen_rape,http://www.imdb.com/title/tt0044081/?ref_=fn_tt_tt_1,233,English,USA,PG,1800000,1.37,5000,_Black_and_White,Marlon_Brando,10000,Karl_Malden,416,Kim_Hunter,114,Elia_Kazan,603
68,A_Tale_of_Three_Cities,Drama,2015,6.2,6,130,N\A,117,244,1,N\A,http://www.imdb.com/title/tt3682770/?ref_=fn_tt_tt_1,6,Chinese,China,N\A,12000000,2.35,4,Color,Wei_Tang,215,Ching_Wan_Lau,27,Hailu_Qin,2,Mabel_Cheung,3
69,A_Thin_Line_Between_Love_and_Hate,Comedy|Crime|Drama|Romance|Thriller,1996,5.6,11,108,34746109,3122,3023,2,african_american|dating|independent_film|irreverence|revenge,http://www.imdb.com/title/tt0117891/?ref_=fn_tt_tt_1,14,English,USA,R,8000000,2.35,559,Color,Faizon_Love,585,Lynn_Whitfield,434,Della_Reese,388,Martin_Lawrence,0
70,A_Thousand_Words,Comedy|Drama,2012,5.9,70,91,18438149,30842,222,8,box_office_flop|buddhist|liar|literary_agent|magical_tree,http://www.imdb.com/title/tt0763831/?ref_=fn_tt_tt_1,93,English,USA,PG-13,40000000,2.35,0,Color,John_Gatins,61,Lou_Saliba,46,Greg_Collins,39,Brian_Robbins,48
71,A_Time_to_Kill,Crime|Drama|Thriller,1996,7.4,71,149,108706165,99558,31349,3,african_american|court|law|mississippi|trial,http://www.imdb.com/title/tt0117913/?ref_=fn_tt_tt_1,236,English,USA,R,40000000,2.35,0,Color,Kevin_Spacey,18000,Matthew_McConaughey,11000,Oliver_Platt,1000,Joel_Schumacher,541
72,A_Touch_of_Frost,Crime|Drama|Mystery,N\A,7.8,14,105,N\A,4438,344,1,cult_tv|death|detective_inspector|four_word_title|internal_affairs,http://www.imdb.com/title/tt0108967/?ref_=fn_tt_tt_1,33,English,UK,N\A,N\A,1.33,361,Color,David_Jason,325,Bruce_Alexander,7,John_Lyons,5,N\A,N\A
73,A_True_Story,Comedy,2013,5.5,N\A,96,N\A,181,2058,5,ellipsis_in_title|long_title|period_in_title|punctuation_in_title|title_ends_with_period,http://www.imdb.com/title/tt1524083/?ref_=fn_tt_tt_1,4,English,USA,N\A,45000,2.35,72,Color,Katrina_Bowden,948,Jon_Gries,482,Kelen_Coleman,281,Malcolm_Goodwin,117
74,A_Turtle's_Tale:_Sammy's_Adventures,Adventure|Animation|Family,2010,6.1,56,88,N\A,5385,3874,2,apostrophe_in_title|character_name_in_title|punctuation_in_title|sea_turtle,http://www.imdb.com/title/tt1230204/?ref_=fn_tt_tt_1,22,English,France,PG,N\A,2.35,0,Color,Ed_Begley_Jr.,783,Jenny_McCarthy,749,Stacy_Keach,602,Ben_Stassen,4
75,A_Very_Harold_&_Kumar_3D_Christmas,Adventure|Comedy,2011,6.3,161,90,35033759,55008,2462,4,christmas|christmas_tree|fire|new_york_city|stoner,http://www.imdb.com/title/tt1268799/?ref_=fn_tt_tt_1,93,English,USA,R,19000000,2.35,21000,Color,Patton_Oswalt,786,Thomas_Lennon,651,Paula_Garcés,587,Todd_Strauss-Schulson,12
76,A_Very_Long_Engagement,Drama|Mystery|Romance|War,2004,7.7,186,133,6167817,62607,405,1,court_martial|death|girl|no_man's_land|soldier,http://www.imdb.com/title/tt0344510/?ref_=fn_tt_tt_1,239,French,France,R,47000000,2.35,0,Color,Denis_Lavant,226,André_Dussollier,52,Albert_Dupontel,46,Jean-Pierre_Jeunet,0
77,A_View_to_a_Kill,Action|Adventure|Thriller,1985,6.3,108,131,50300000,68565,2943,2,computer|earthquake|microchip|official_james_bond_series|silicon_valley,http://www.imdb.com/title/tt0090264/?ref_=fn_tt_tt_1,300,English,UK,PG,30000000,2.35,0,Color,Patrick_Macnee,1000,Alison_Doody,439,Tanya_Roberts,433,John_Glen,46
